,Year,Month,광진구 Power Usage,양천구 Power Usage,도봉구 Power Usage,서대문구 Power Usage,중구 Power Usage,중랑구 Power Usage,송파구 Power Usage,종로구 Power Usage,용산구 Power Usage,은평구 Power Usage,강서구 Power Usage,서초구 Power Usage,강남구 Power Usage,동대문구 Power Usage,노원구 Power Usage,영등포구 Power Usage,성북구 Power Usage,마포구 Power Usage,금천구 Power Usage,관악구 Power Usage,강동구 Power Usage,성동구 Power Usage,강북구 Power Usage,구로구 Power Usage,동작구 Power Usage
57,2020,7,221.39,257.38,240.26,230.67,230.74,223.9,270.09,213.32,260.1,233.35,230.21,290.82,281.57,226.51,246.13,221.92,242.0,237.76,203.62,188.43,243.93,260.24,218.14,229.71,221.68
58,2020,8,252.66,303.17,279.31,274.51,273.03,256.45,311.38,248.8,303.96,271.61,264.77,349.5,338.11,253.05,286.22,261.92,271.03,278.47,240.41,217.64,287.93,289.88,246.06,269.9,256.47
59,2020,9,264.77,321.06,286.77,266.79,260.24,268.35,334.18,250.74,314.29,291.85,282.94,352.15,319.19,274.79,292.87,265.81,297.53,286.58,247.53,231.24,291.34,325.67,265.76,283.47,271.75
60,2020,10,187.62,234.8,218.57,204.35,193.77,199.51,238.4,183.95,217.49,213.22,204.65,251.86,237.86,198.95,223.81,196.14,217.22,204.82,185.97,167.4,213.01,229.01,195.42,207.88,196.18
61,2020,11,192.23,241.65,230.37,211.13,199.36,206.21,246.04,189.92,222.48,221.26,208.77,252.28,241.22,201.33,236.38,201.5,222.58,210.43,191.7,171.45,219.77,231.08,202.9,215.44,200.02
62,2020,12,205.47,257.53,246.77,229.01,219.91,220.82,260.42,209.8,240.69,236.66,220.78,273.57,260.46,214.77,252.58,217.94,237.43,227.14,204.97,182.25,233.07,244.9,216.12,229.54,213.1
63,2021,1,230.88,284.93,273.16,254.49,245.76,248.06,288.99,238.78,271.53,263.93,244.48,299.92,281.76,242.6,278.15,243.61,266.93,253.7,229.47,205.28,261.41,278.91,244.17,256.44,237.33
64,2021,2,219.69,273.57,260.77,237.24,228.24,235.57,277.94,223.54,256.39,253.67,235.02,283.75,260.4,233.1,265.54,230.95,259.8,240.64,217.49,196.16,250.44,271.93,236.45,245.06,227.63
65,2021,3,186.01,237.02,221.63,209.41,196.14,202.63,237.15,188.72,216.64,217.86,203.71,246.71,234.06,197.35,226.73,201.3,221.68,205.17,187.21,164.71,214.59,228.64,198.55,210.82,192.35
66,2021,4,192.35,245.03,227.68,211.97,197.25,206.18,245.58,188.87,222.42,223.38,210.96,254.19,236.08,202.25,234.91,203.13,226.99,210.11,191.59,170.92,222.54,235.22,204.36,215.77,200.75
67,2021,5,182.43,233.45,215.23,204.44,189.27,196.27,231.25,179.02,213.24,212.05,200.59,245.19,228.83,191.23,221.65,194.78,214.55,201.39,183.07,161.6,213.48,221.57,192.2,205.81,190.35
68,2021,6,196.61,243.98,223.94,215.98,203.06,204.55,243.62,191.78,231.66,221.82,211.23,265.5,249.97,203.26,230.76,207.43,224.16,218.18,194.07,172.68,225.71,235.64,201.61,216.13,202.38
69,2021,7,245.99,299.33,268.8,276.15,271.22,248.08,295.61,242.7,302.86,262.51,253.62,351.24,340.98,243.35,278.17,266.7,261.24,277.33,238.7,207.95,285.77,279.97,232.49,263.77,249.27
70,2021,8,338.05,404.26,355.5,342.55,334.1,336.53,409.54,316.79,411.06,365.18,350.21,457.11,411.92,342.88,358.63,347.29,367.35,368.96,315.36,285.35,377.0,408.77,331.46,357.03,339.67
71,2021,9,235.56,294.88,251.45,246.02,234.25,238.65,294.43,223.69,279.61,266.64,255.78,318.58,291.06,247.81,257.37,246.67,268.8,261.87,229.88,207.82,266.54,294.95,235.23,256.4,243.13
72,2021,10,195.38,245.47,221.15,214.92,200.81,203.09,243.76,190.0,226.41,223.29,214.3,265.96,249.44,206.37,226.47,208.53,223.67,217.89,196.81,174.57,226.29,238.71,199.14,216.96,203.53
73,2021,11,192.32,245.47,228.6,213.47,198.58,204.84,245.36,189.21,221.29,223.11,210.73,260.66,240.91,202.79,234.84,203.57,225.26,212.9,196.14,171.34,227.17,234.83,201.47,214.85,201.93
74,2021,12,199.24,251.64,236.74,225.35,211.31,212.84,250.87,202.36,230.19,231.87,215.42,268.53,257.98,209.99,245.84,213.7,232.53,222.42,203.11,175.72,233.44,241.43,208.37,222.36,206.46
75,2022,1,215.47,263.41,261.63,223.18,213.68,226.74,254.83,218.7,238.21,228.36,229.89,264.91,255.0,219.61,263.79,225.24,233.35,226.97,219.68,190.35,233.81,247.53,225.71,242.4,213.16
76,2022,2,219.29,273.44,258.15,241.57,229.39,233.56,274.88,223.4,252.96,253.11,233.83,285.86,263.07,232.13,265.69,231.71,256.77,244.27,222.63,194.62,254.16,271.72,232.36,244.45,230.95
77,2022,3,192.74,243.61,225.83,220.5,204.73,207.54,243.89,197.05,222.93,225.01,209.1,260.36,243.8,205.0,234.08,210.36,227.17,215.7,197.21,170.19,225.69,237.82,201.91,217.58,204.69
78,2022,4,195.33,248.35,228.67,216.39,200.39,208.79,251.03,192.55,223.27,225.49,213.37,259.38,240.94,207.09,237.79,207.98,232.27,215.02,198.23,173.42,227.34,240.67,205.55,220.01,208.87
79,2022,5,177.92,227.09,207.21,198.78,185.92,190.72,228.82,174.35,204.77,207.61,195.08,241.73,228.12,188.05,214.44,190.75,210.48,199.62,182.06,157.33,210.42,219.25,184.88,200.17,189.1
80,2022,6,191.49,236.43,215.41,212.14,203.28,199.84,241.61,187.11,223.02,216.25,204.94,262.48,250.47,198.69,223.96,203.39,218.66,214.2,192.53,167.55,225.68,230.19,192.54,210.33,200.48
81,2022,7,253.34,300.22,273.18,279.38,274.91,257.83,309.82,247.97,305.3,277.69,260.4,354.07,339.96,252.66,283.12,268.87,270.41,285.32,248.8,215.63,297.05,292.51,240.39,268.74,255.33
82,2022,8,304.81,366.28,322.33,317.91,308.74,307.45,376.61,290.4,365.2,330.36,315.85,416.03,378.1,305.11,332.64,313.57,333.8,333.35,293.14,259.42,350.96,360.35,293.05,323.04,307.63
83,2022,9,238.03,293.42,251.94,247.18,234.49,245.53,299.99,226.0,278.88,262.58,254.2,321.46,287.62,250.79,259.53,246.27,277.97,259.82,232.88,207.29,274.82,296.86,237.38,255.66,245.63
84,2022,10,190.16,238.73,212.49,209.34,194.48,200.5,241.13,184.7,222.83,217.03,208.03,259.84,239.8,201.47,221.6,202.53,223.56,211.76,193.11,169.43,223.73,234.31,193.13,210.68,201.36
